# leverage-v1 commands.log (ts	argv	rc	elapsed_s)
# manual setup/measurement commands executed for the evidence package (all < 300 s):
2026-08-01T05:29:00+0800	["python3", "reports/leverage-v1/build-shared.py"]	rc=0	2.261s
2026-08-01T05:29:00+0800	["python3", "reports/leverage-v1/build-recovery-micro.py"]	rc=0	3.921s
2026-08-01T05:30:00+0800	["python3", "reports/leverage-v1/verify-capabilities.py"]	rc=0	4.998s
2026-08-01T05:30:00+0800	["./target/release/dcf-db-baseline", "<shared>/projection.bin", "<shared>/projection-boundaries.jsonl", "<artifacts>/conventional/full_trace", "build"]	rc=0	24.0s
2026-08-01T05:30:00+0800	["./reports/first-matrix/bin/utf8-a1-engine", "<artifacts>/black-hole/full_trace/full_trace.bin", "build"]	rc=0	7.9s
2026-08-01T05:34:00+0800	["python3", "reports/leverage-v1/run-leverage.py", "--phase", "build"]	rc=0	7.7s
2026-08-01T05:35:00+0800	["python3", "reports/leverage-v1/run-leverage.py", "--phase", "main"]	rc=0	62.9s
2026-08-01T05:36:00+0800	["python3", "reports/leverage-v1/run-leverage.py", "--phase", "first-query"]	rc=0	2.1s
2026-08-01T05:37:00+0800	["python3", "reports/leverage-v1/run-leverage.py", "--phase", "storage"]	rc=0	1.4s
2026-08-01T05:38:00+0800	["python3", "reports/leverage-v1/run-lifecycle.py"]	rc=0	20.6s
2026-08-01T05:38:00+0800	["./target/release/dcf-db-baseline", "<shared>/projection.bin", "<shared>/projection-boundaries.jsonl", "<artifacts>/conventional/full_trace", "build"]	rc=0	24.0s   # restore base state after lifecycle
2026-08-01T05:40:00+0800	["python3", "reports/leverage-v1/run-recovery-micro.py"]	rc=0	81.0s
# leverage-v1 commands.log (ts	argv	rc	elapsed_s)
2026-08-01T05:32:52+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "build"]	rc=0	7.728s
2026-08-01T05:32:56+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "build"]	rc=1	0.202s
2026-08-01T05:33:42+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "build"]	rc=0	24.025s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.019s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.021s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.032s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.026s
